PANEL,KODE,KONDISI TIANG,JENIS_LAMPU,KONDISI_LAMPU,DESA/KEL,KABUPATEN,LATITUDE,LONGITUDE
518013745499,JL MH THAMRIN 1A1,BAIK,LED,BAIK,KLANGON,BOJONEGORO,-7.15476535,111.87256258
518013745499,JL MH THAMRIN 1A2,BAIK,LED,BAIK,KLANGON,BOJONEGORO,-7.1550757,111.872493
518013745499,JL MH THAMRIN 1A3,BAIK,LED,BAIK,KLANGON,BOJONEGORO,-7.1555681,111.87233
518013745499,JL MH THAMRIN 1B1,BAIK,LED,BAIK,KLANGON,BOJONEGORO,-7.1543056,111.872712
518013745499,JL MH THAMRIN 1B2,BAIK,LED,BAIK,KLANGON,BOJONEGORO,-7.1540142,111.872802
518013745499,JL MH THAMRIN 1B3,BAIK,LED,BAIK,KLANGON,BOJONEGORO,-7.1535621,111.872914
518013745499,JL MH THAMRIN 1B4,BAIK,LED,BAIK,KLANGON,BOJONEGORO,-7.1531443,111.873036
518013745499,JL MH THAMRIN 1B5,BAIK,LED,BAIK,KLANGON,BOJONEGORO,-7.152807,111.873127
518013745499,JL MH THAMRIN 1B6,BAIK,LED,BAIK,KLANGON,BOJONEGORO,-7.1524244,111.873261
518013745499,JL MH THAMRIN 1B7,BAIK,LED,BAIK,KLANGON,BOJONEGORO,-7.1520268,111.873361
518013745499,JL MH THAMRIN 1B8,BAIK,LED,BAIK,KLANGON,BOJONEGORO,-7.1516443,111.873478
518013745499,JL MH THAMRIN 1B9,BAIK,LED,BAIK,KLANGON,BOJONEGORO,-7.1514756,111.873517
518013745499,JL MH THAMRIN 1B10,BAIK,LED,BAIK,KLANGON,BOJONEGORO,-7.1510984,111.873602
518013745499,JL MH THAMRIN 1B11,BAIK,LED,BAIK,KLANGON,BOJONEGORO,-7.1507348,111.873706
518013745499,JL MH THAMRIN 1B12,BAIK,LED,BAIK,KLANGON,BOJONEGORO,-7.1498209,111.873988
518013745499,JL MH THAMRIN 1B13,BAIK,LED,BAIK,KLANGON,BOJONEGORO,-7.1491879,111.874204
518013745499,JL MH THAMRIN 1B14,BAIK,LED,BAIK,KLANGON,BOJONEGORO,-7.1502062,111.873863
518013745499,JL MH THAMRIN 1B15,BAIK,LED,BAIK,KLANGON,BOJONEGORO,-7.1486526,111.874424
518013745481,JL MH THAMRIN 2A1,BAIK,LED,BAIK,KLANGON,BOJONEGORO,-7.1538948,111.87268
518013745481,JL MH THAMRIN 2A2,BAIK,LED,BAIK,KLANGON,BOJONEGORO,-7.1534374,111.872809
518013745481,JL MH THAMRIN 2A3,BAIK,LED,BAIK,KLANGON,BOJONEGORO,-7.1530824,111.872916
518013745481,JL MH THAMRIN 2A4,BAIK,LED,BAIK,KLANGON,BOJONEGORO,-7.1524829,111.873071
518013745481,JL MH THAMRIN 2A5,BAIK,LED,BAIK,KLANGON,BOJONEGORO,-7.1521493,111.87318
518013745481,JL MH THAMRIN 2A6,BAIK,LED,BAIK,KLANGON,BOJONEGORO,-7.1516416,111.873312
518013745481,JL MH THAMRIN 2A7,BAIK,LED,BAIK,KLANGON,BOJONEGORO,-7.151265,111.873404
