ID_PELANGGAN,NAMA_PELANGGAN,NO_METER,DAYA,JML_LAMPU,TOTAL_DAYA,ALAMAT,DESA/KEL,KECAMATAN,KABUPATEN,LATITUDE,LONGITUDE
518011685900,PJU DN. GOIMO BBL ,2482152,5500,28,840,DESA BUBULAN RT 06 RW 02,Bubulan,Bubulan,Bojonegoro,-7.3230,111.8054
518011685870,PJU DN. BUBULAN BBL,151110213,3500,,,DESA BUBULAN RT 04 RW 01,Bubulan,Bubulan,Bojonegoro,-7.3284,111.8036
518013745935,PJL DN. BUBULAN BBL ,223002476,4400,32,960,DESA BUBULAN RT 06 RW 02,Bubulan,Bubulan,Bojonegoro,-7.3230,111.8054
518011685918,PJU DN. TLOTOK BBL ,2482040,3500,,,DESA BUBULAN RT 13 RW 04,Bubulan,Bubulan,Bojonegoro,-7.3342,111.7969
518013815880,PJL DN. TLOTOK BBL ,24114131604,3500,27,810,DESA BUBULAN RT 13 RW 04,Bubulan,Bubulan,Bojonegoro,-7.3338,111.7960
518011710434,PJU DN. PRADOK BBL ,151109389,1300,,,DESA BUBULAN RT 21 RW 08 ,Bubulan,Bubulan,Bojonegoro,-7.3256,111.8002
518011685854,PJU DN. KOWANG BBL ,2482051,7700,,,DESA CANCUNG RT 17 RW 06,Cancung,Bubulan,Bojonegoro,-7.318600,111.809318
518011685926,PJU DN. KRAJAN BBL 2,2482098,5500,28,840,DESA CANCUNG RT 01 RW 01,Cancung,Bubulan,Bojonegoro,-7.324096,111.812810
518011685839,PJU DN. REJO BBL ,2482159,5500,28,840,DESA CANCUNG  RT 07 RW 03,Cancung,Bubulan,Bojonegoro,-7.325300,111.815908
518011685934,PJU DN. CLEBUNG BBL 1,56984866029,1300,,,DESA CLEBUNG RT 05 RW 02,Clebung,Bubulan,Bojonegoro,-7.332593,111.858195
518011710227,PJU DN. TALUN KEPOH BBL 1,2467962,1300,,,DESA NGOROGUNUNG RT 08 RW 03,Ngorogunung,Bubulan,Bojonegoro,-7.318614,111.869092
518011685942,PJU DN. NGOROGUNUNG BBL ,2482171,5500,,,DESA NGOROGUNUNG RT 03 RW 01,Ngorogunung,Bubulan,Bojonegoro,-7.324025,111.865173
518011685862,PJU DN. JOMBLANG BBL,2431511,1300,,,DESA CANCUNG  RT 08 RW 03,Ngorogunung,Bubulan,Bojonegoro,-7.332593,111.858195
518011710243,PJU DN. CANJANG BBL ,161812553,1300,,,DUSUN CANJANG,SUMBERBENDO,Bubulan,Bojonegoro,-7.319306,111.860823
518011710442,PJU DN. BRENDO BBL ,2482171,5500,,,Dusun Bendro,Sumberbendo,Bubulan,Bojonegoro,-7.3245,111.8590
518011710235,PJU DN. SUMURLO BBL 3,2482139,3500,,,Dusun Sumurlo RT 12 RW 04,Sumberbendo,Bubulan,Bojonegoro,-7.332593,111.858195
518050534804,PJU DN. BEGADON I GYM,2332158,2200,,,RT 103   RW 01,Begadon,Gayam,Bojonegoro,-7.169919,111.704617
518050534791,PJU DN. BEGADON II GYM,50944114019,1300,,,RT 11  RW 06 ,Begadon,Gayam,Bojonegoro,-7.164790,111.704836
518050534369,PJU DN. BEGED GYM,50905052079545,1300,,,RT 02 RW 01,Beged,Gayam,Bojonegoro,-7.174818,111.668185
518050534377,PJU DN. PETAK GYM,8949560,1300,,,Dsn. Petak rt 09 rw 05,Beged,Gayam,Bojonegoro,-7.168962,111.664854
86700471534,PJL DN. PETAK GYM,86700471534,4400,28,840,Dsn. Petak Rt 12 Rw 06,Beged,Gayam,Bojonegoro,-7.174818,111.668185
