ID_PELANGGAN,NAMA_PELANGGAN,NO_METER,DAYA,JML_LAMPU,TOTAL_DAYA,ALAMAT,DESA/KEL,KECAMATAN,KABUPATEN,LATITUDE,LONGITUDE
518013746330,DESA KALIREJO A1,223007551,3500,32,920,DESA KALIREJO,KALIREJO,BOJONEGORO,BOJONEGORO,-7.137163,111.929903
JL LETTU SUYITNO A6,JL LETTU SUYITNO A6,9025644,11000,35,2370,JL LETTU SUYITNO,KALIREJO,BOJONEGORO,BOJONEGORO,-7.134087,111.928641
DESA SEMANDING A1,DESA SEMANDING A1,07003541,2200,,,GANG GUYANGAN,SEMANDING ,BOJONEGORO,BOJONEGORO,-7.154516,111.928352
51801381,DESA KALIREJO A2,2411408869,3500,27,810,DESA KALIREJO,KALIREJO,BOJONEGORO,BOJONEGORO,-7.146916,111.926786
JL LETTU SUYITNO A5,JL LETTU SUYITNO A5,06001598,7000,40,3900,JL LETTU SUYITNO,KALIREJO,BOJONEGORO,BOJONEGORO,-7.134899,111.92407
518013749896,DESA MULYOAGUNG A1,50905839994,3500,32,960,MULYOAGUNG ,MULYOAGUNG ,BOJONEGORO,BOJONEGORO,-7.134846,111.918798
DESA MULYOAGUNG A2,DESA MULYOAGUNG A2,2482111,1300,,,MULYOAGUNG ,MULYOAGUNG ,BOJONEGORO,BOJONEGORO,-7.135893,111.918606
PEMUDA SEMANDING A3,PEMUDA SEMANDING A3,50903870678,7200,15,1350,SEMANDING,SEMANDING,BOJONEGORO,BOJONEGORO,-7.157611,111.917117
SAMBIROTO-CAMPUREJO A2,SAMBIROTO-CAMPUREJO A2,2332154,5500,28,840,SAMBIROTO,SAMBIROTO,KAPAS,BOJONEGORO,-7.148922,111.91609
JL LETTU SUYITNO A7,JL LETTU SUYITNO A7,190044472,1300,1,180,JL LETTU SUYITNO,MULYOAGUNG,BOJONEGORO,BOJONEGORO,-7.137943,111.915507
PEMUDA SEMANDING A2,PEMUDA SEMANDING A2,140047724,7200,12,1350,SAMBIROTO,SAMBIROTO,KAPAS,BOJONEGORO,-7.157122,111.914541
JL LETTU SUYITNO A3,JL LETTU SUYITNO A3,9025629,11000,32,3910,JL LETTU SUYITNO,MULYOAGUNG,BOJONEGORO,BOJONEGORO,-7.138767,111.914166
JL_IMAM BONJOL,JL_IMAM BONJOL,7003536,7700,19,1710,JALAN LETTU SUYITNO LAMA,MULYOAGUNG,BOJONEGORO,BOJONEGORO,-7.13836964,111.9141576
518013724777,JL LETTU SUYITNO A4,50905270018,5500,12,1800,JL LETTU SUYITNO,MULYOAGUNG,BOJONEGORO,BOJONEGORO,-7.139422,111.913662
518013815665,SAMBIROTO-CAMPUREJO A1,24114088874,3500,27,810,SAMBIROTO,SAMBIROTO,KAPAS,BOJONEGORO,-7.153001,111.913294
518013742762,SAMBIROTO-CAMPUREJO A3,223007651,4400,34,1020,SAMBIROTO,SAMBIROTO,KAPAS,BOJONEGORO,-7.147829,111.911615
DESA CAMPUREJO A2,DESA CAMPUREJO A2,223002814,4400,30,900,RT 12 RW 2,CAMPUREJO,BOJONEGORO,BOJONEGORO,-7.149356,111.911425
518013866065,DESA MULYOAGUNG A3,86700643378,4400,28,840,MULYOAGUNG ,MULYOAGUNG ,BOJONEGORO,BOJONEGORO,-7.140553,111.910886
518013619523,JL TKSN SAMBIROTO A1,202382748,5500,24,2160,SAMBIROTO,SAMBIROTO,KAPAS,BOJONEGORO,-7.161598,111.908817
518013518905,JL TKSN SAMBIROTO A2,194277491,7000,32,2640,TIKUSAN,TIKUSAN,KAPAS,BOJONEGORO,-7.162353,111.908533
DESA CAMPUREJO A4,DESA CAMPUREJO A4,161132193,4400,,,RT 23 RW 2,CAMPUREJO,BOJONEGORO,BOJONEGORO,-7.146967,111.908501
DESA CAMPUREJO A3,DESA CAMPUREJO A3,2332409,2200,,,RT 28 RW 4,CAMPUREJO,BOJONEGORO,BOJONEGORO,-7.145514,111.908
518013742181,DESA CAMPUREJO A1,223008138,3500,24,720,RT 18 RW 2,CAMPUREJO,BOJONEGORO,BOJONEGORO,-7.147865,111.907754
JL MANGGA A2,JL MANGGA A2,161033790,5500,16,1410,JL MANGGA,Campurejo,BOJONEGORO,BOJONEGORO,-7.150758,111.90775
518013862896,DESA MULYOAGUNG A4,8670069627,4400,28,840,MULYOAGUNG ,MULYOAGUNG ,BOJONEGORO,BOJONEGORO,-7.141779,111.90771
518011642517,JL LETTU SUYITNO A2,10056018,3500,2,300,JL LETTU SUYITNO,MULYOAGUNG,BOJONEGORO,BOJONEGORO,-7.140771,111.907355
518013884712,DESA CAMPUREJO A5,86700792166,5500,28,840,JL AKBAR,CAMPUREJO,BOJONEGORO,BOJONEGORO,-7.145343,111.90683
518013274645,PEMUDA SEMANDING A1,1756815,11000,23,5750,NGAMPEL,NGAMPEL,KAPAS,BOJONEGORO,-7.158131,111.90637
JL MANGGA A1,JL MANGGA A1,7003543,7200,28,2040,JL MANGGA,Campurejo,BOJONEGORO,BOJONEGORO,-7.145233,111.906035
518011514420,JL LETTU SUYITNO A1,06001597,11000,29,3060,JL LETTU SUYITNO,CAMPUREJO,BOJONEGORO,BOJONEGORO,-7.141518,111.904127
518013810153,DESA CAMPUREJO A11,86700170149,4400,20,600,GANGG SUBINGAN,CAMPUREJO,BOJONEGORO,BOJONEGORO,-7.150404,111.904038
518013718361,DESA CAMPUREJO A10,223008533,3500,36,1050,GANG SUBINGAN,CAMPUREJO,BOJONEGORO,BOJONEGORO,-7.150287,111.903777
518013749033,DESA CAMPUREJO A6,50905857822,3500,32,960,RT 31 RW 1,CAMPUREJO,BOJONEGORO,BOJONEGORO,-7.139232,111.903399
518013813967,JL CENDEKIA A2,86700659784,5500,27,2430,NGAMPEL,NGAMPEL,KAPAS,BOJONEGORO,-7.166543,111.903297
JL CENDEKIA A1,JL CENDEKIA A1,8949721,3500,,,NGAMPEL,NGAMPEL,KAPAS,BOJONEGORO,-7.167973,111.903065
518013808648,DESA CAMPUREJO A14,24114118284,3500,35,1050,GANG BAENO,CAMPUREJO,BOJONEGORO,BOJONEGORO,-7.151968,111.902447
DESA CAMPUREJO A7,DESA CAMPUREJO A7,50904127680,3500,36,1080,RT 4 RW 1,CAMPUREJO,BOJONEGORO,BOJONEGORO,-7.139121,111.902439
DESA CAMPUREJO A13,DESA CAMPUREJO A13,223003613,3500,25,750,GANG BAENO,CAMPUREJO,BOJONEGORO,BOJONEGORO,-7.151531,111.902415
DESA CAMPUREJO A12,DESA CAMPUREJO A12,86700794233,4400,28,840,RT 6 RW 4,CAMPUREJO,BOJONEGORO,BOJONEGORO,-7.144441,111.902237
518013816667,DESA CAMPUREJO A8,24114111475,3500,28,840,RT 1 RW 1,CAMPUREJO,BOJONEGORO,BOJONEGORO,-7.140761,111.902203
JL LISMAN A1,JL LISMAN A1,9025638,11000,12,1080,JL LISMAN,CAMPUREJO,BOJONEGORO,BOJONEGORO,-7.145951,111.901664
518013250941,STADION BOJONEGORO A3,50905308131,5500,,,JL LISMAN STADION,CAMPUREJO,BOJONEGORO,BOJONEGORO,-7.14935651,111.901338
JL LISMAN A2,JL LISMAN A2,161133478,1300,1,90,JL LISMAN,CAMPUREJO,BOJONEGORO,BOJONEGORO,-7.150927,111.901205
518013742210,DESA CAMPUREJO A15,223007009,4400,32,960,RT 26 RW 3,CAMPUREJO,BOJONEGORO,BOJONEGORO,-7.15123,111.900706
STADION BOJONEGORO A2,STADION BOJONEGORO A2,4518731314,5500,24,1800,JL LETTU SUWOLO STADION,CAMPUREJO,BOJONEGORO,BOJONEGORO,-7.14797161,111.8999463
STADION BOJONEGORO A1,STADION BOJONEGORO A1,2467999,8800,56,6600,JL LETTU SUWOLO STADION,CAMPUREJO,BOJONEGORO,BOJONEGORO,-7.14794832,111.8999255
518013720664,DESA CAMPUREJO A9,223008464,3500,32,960,GANG BARU,CAMPUREJO,BOJONEGORO,BOJONEGORO,-7.146081,111.899784
JL VETERAN A1,JL VETERAN A1,132090,11000,25,2250,JL VETERAN,NGROWO,BOJONEGORO,BOJONEGORO,-7.157358,111.899522
JL VETERAN A2,JL VETERAN A2,2999346,11000,15,1410,JL VETERAN,NGROWO,BOJONEGORO,BOJONEGORO,-7.157378,111.899513
518013887248,JL LETTU SUWOLO A3,86700660212,3500,11,1650,JL LETTU SUWOLO,NGROWO,BOJONEGORO,BOJONEGORO,-7.150167,111.899512
518013813375,JL PEMUDA A3,24114133541,5500,10,1500,JALAN PEMUDA,NGROWO,BOJONEGORO,BOJONEGORO,-7.153288,111.899378
JL LETTU SUWOLO A2,JL LETTU SUWOLO A2,6001593,13860,26,5380,JL LETTU SUWOLO,NGROWO,BOJONEGORO,BOJONEGORO,-7.148105,111.899365
518013887257,JL LETTU SUWOLO A1,86700656039,3500,11,1350,JL LETTU SUWOLO,NGROWO,BOJONEGORO,BOJONEGORO,-7.147866,111.899307
518013472788,KELURAHAN NGROWO A2,223008091,4400,32,960,JALAN LETTU SUWOLO,NGROWO,BOJONEGORO,BOJONEGORO,-7.148776,111.899079
518013648146,PASAR WISATA A1,,,17,1530,JALAN KOPRAL KASAN,CAMPUREJO,BOJONEGORO,BOJONEGORO,-7.144421,111.8990564
518013813998,PASAR BURUNG A1 ,24114083998,3500,14,1080,PASAR BURUNG,BANJAREJO,BOJONEGORO,BOJONEGORO,-7.14405906,111.89893
KELURAHAN BANJAREJO A11,KELURAHAN BANJAREJO A11,223007709,4400,44,1320,BANJAREJO,BANJAREJO,BOJONEGORO,BOJONEGORO,-7.140849,111.898918
JL VETERAN A3,JL VETERAN A3,24114089070,5500,23,1950,JL VETERAN,SUKOREJO,BOJONEGORO,BOJONEGORO,-7.162832,111.897598
518013744099,KELURAHAN NGROWO A1,223000480,4400,32,960,GANG BADER,NGROWO,BOJONEGORO,BOJONEGORO,-7.146311,111.89758
518011514143,JL JA SUPRAPTO A2,223008078,11000,31,3800,JL JA SUPRAPTO,BANJAREJO,BOJONEGORO,BOJONEGORO,-7.145191,111.897448
518013884738,KELURAHAN NGROWO A3,86700797306,4400,21,630,JALAN KYAI MOJO,NGROWO,BOJONEGORO,BOJONEGORO,-7.15633,111.896741
JL VETERAN A4,JL VETERAN A4,9027191,11000,23,2100,JL VETERAN,SUKOREJO,BOJONEGORO,BOJONEGORO,-7.16504,111.896595
JL MELIWIS PUTIH A1,JL MELIWIS PUTIH A1,07003529,8800,18,1620,JALAN MELIWIS PUTIH ,NGROWO,BOJONEGORO,BOJONEGORO,-7.152712,111.89652
KELURAHAN BANJAREJO A9,KELURAHAN BANJAREJO A9,223002923,4400,31,930,GANG SUKIDIN,BANJAREJO,BOJONEGORO,BOJONEGORO,-7.140524,111.896512
JL SERSAN SURATMAN A1,JL SERSAN SURATMAN A1,07003524,7700,48,2610,JALAN SESAN SURATMAN,KARANG PACAR ,BOJONEGORO,BOJONEGORO,-7.145139,111.896504
JL PEMUDA A2,JL PEMUDA A2,223003462,3500,12,1800,JALAN PEMUDA,NGROWO,BOJONEGORO,BOJONEGORO,-7.152994,111.895911
KELURAHAN BANJARJO A6,KELURAHAN BANJAREJO A6,9529258061,5500,19,1140,JALAN PINGGIRAN,BANJAREJO,BOJONEGORO,BOJONEGORO,-7.1372,111.8958
518013733192,KELURAHAN BANJAREJO A8,223009253,3500,32,960,JALAN TANGGUL,BANJAREJO,BOJONEGORO,BOJONEGORO,-7.138437,111.895765
JL PEMUDA A1,JL PEMUDA A1,2493477,11000,32,2640,JALAN PEMUDA,NGROWO,BOJONEGORO,BOJONEGORO,-7.152866,111.895578
518013751457,JL SERSAN SURATMAN A2,50905923749,5500,7,630,JALAN SESAN SURATMAN,KARANG PACAR ,BOJONEGORO,BOJONEGORO,-7.146059,111.894974
518013744103,DESA SUKOREJO A4,223000025,4400,33,990,JALAN PONDOK BAMBU,SUKOREJO,BOJONEGORO,BOJONEGORO,-7.165225,111.894906
518013685471,KELURAHAN BANJAREJO A5,114021132521,3500,17,1020,JALAN PINGGIRAN,BANJAREJO,BOJONEGORO,BOJONEGORO,-7.136999,111.894668
518013748015,JL KYAI MOJO A1,50905924440,5500,26,1980,JALAN KYAI MOJO ,MOJO KAMPUNG ,BOJONEGORO,BOJONEGORO,-7.156763,111.894437
518013741130,KELURAHAN NGROWO A4,50905330606,4400,35,1050,JALAN MLIWIS PUTIH,NGROWO,BOJONEGORO,BOJONEGORO,-7.151316,111.894348
518013659664,KELURAHAN BANJAREJO A1,45210028832,5500,21,630,JALAN SERMA MAUN,BANJAREJO,BOJONEGORO,BOJONEGORO,-7.141385,111.894165
518013718503,DESA SUKOREJO A6,223008735,3500,32,960,JALAN BASUKI RAHMAT,SUKOREJO,BOJONEGORO,BOJONEGORO,-7.162612,111.89401
518013718379,KELURAHAN BANJAREJO A2,223008718,3500,32,960,JALAN SERMA MAUN,BANJAREJO,BOJONEGORO,BOJONEGORO,-7.139936,111.89382
518015745424,JL HAYAM WURUK  A6,223000780,2200,6,1080,JL HAYAM WURUK,KARANGPACAR,BOJONEGORO,BOJONEGORO,-7.145339,111.893762
KLRHN MOJOKAMPUNG A2,KLRHN MOJOKAMPUNG A2,7018626,5500,36,1080,JL BASUKI RAHMAT GG MAARUF,MOJOKAMPUNG,BOJONEGORO,BOJONEGORO,-7.155721,111.893322
JL HAYAM WURUK A5,JL HAYAM WURUK  A5,9027184,11000,26,3030,JL HAYAM WURUK,KARANGPACAR,BOJONEGORO,BOJONEGORO,-7.145325,111.893265
JL SERMA MAUN A1,JLSERMA MAUN A1,9027154,7000,26,2460,JL SERMA MAUN,BANJAREJO,BOJONEGORO,BOJONEGORO,-7.141687,111.893217
518013886893,JL RAJAWALI A2,86700795115,5500,15,5050,JL RAJAWALI,KARANGPACAR,BOJONEGORO,BOJONEGORO,-7.146377,111.893
KLRHN MOJOKAMPUNG A3,KLRHN MOJOKAMPUNG A3,24114122709,3500,26,780,JL PEMUDA GG WAHYU,MOJOKAMPUNG,BOJONEGORO,BOJONEGORO,-7.153881,111.892955
KLRHN MOJOKAMPUNG A4,KLRHN MOJOKAMPUNG A4,7018636,1300,,,JL BASUKI RAHMAT GG WAHYU,MOJOKAMPUNG,BOJONEGORO,BOJONEGORO,-7.153873,111.89289
